4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
,,,U: L/E,"R' B: R2, E'",M' U': R/S,,U' L F': L/S,L U' L' U: L'/E,"S', R' F R","L U L' U', M","U: S, r' U' r","l U: U, l' E l","U M': U', R' E R",,,,R U' R' U' R' U' R U R U
,,,M2: U/M',"l U: L2, S'",M' U': R'/S,,U' R' F: R'/S',,"L', U S' U'","M, R' U' R U","U': l U l', S'","U M': U', R E' R'","U M': R' E R, U'",,,,U M' U M U2 M U' M' U
,,,M2: U'/M',"l U: S', L2",U E: R'/S,,D L F: L/S',,"U S' U', L'","R' U' R U, M","U': S', l U l'","U r: E', R' U' R","R' U': R U R', E'",,,,U M U' M' U2 M' U M U
,,,M': U'/M,"r' U': R2, S",U E: R/S,,D L F: L'/S',,"R, U' S U","E': U, L' E L","U: S', L B' L'","U' M': U, L' E L","U D': R F R', S'",,,,U L' U' L' U L U L U L' U2
,,,M': U/M,"r' U': S, R2",r U: R'/E,,D' R' F': R'/S,,"U' S U, R","E': L' E L, U","U: L B' L', S'","U' M': L' E L, U","U D': S', R F R'",,,,U2 L U' L' U' L' U' L U L U'
,,,r: U'/M,"M U: L2, S'",r U: R/E,,D' R' F': R/S,,"E, L' U L","E: U', R E' R'","U': S, R' B R","U r': R U R', E","U' D: L' F' L, S",,,,U' R U R U' R' U' R' U' R U2
,,,r: U/M,"M U: S', L2",M' U: R'/E,,U R' U': R'/E,,"L' U L, E","E: R E' R', U'","U': R' B R, S","U r': E, R U R'","U' D: S, L' F' L",,,,U2 R' U R U R U R' U' R' U
,,,l': U/M,"M U': R2, S",M' U: R/E,,U R' U': R/E,,"E', R U' R'","L' U' L U, M'","U': S, R' F' R","L E: L' U' L, E","U' D': L' F' L, S",,,,U R D R' D' R' D' R' D R D U'
,,,l': U'/M,"M U': S, R2",M' U': L/E',,U R U': R'/E,,"R U' R', E'","M', L' U' L U","U': R' F' R, S","L E2: L' U' L, E'","U' D': S, L' F' L",,,,D' U R' D' R D R D R D' R' U'
,,,u': R'/S,"R2 F': R2, E'",M' U': L'/E',,U R U': R/E,,"U' L U, M'","R U R' U', M'","D': L' F' L, S","R' E': R U R', E'",,,,,M' U M U2 M U' M' U2
,,,u': R/S,"R2 F': E', R2",U E: L/E',,U R' U': R'/E',,"M', U' L U","M', R U R' U'","D': S, L' F' L","R' E2: R U R', E",,,,,M U' M' U2 M' U M U2
,,,u': L/E',"R D: R2, S'",U E: L'/E',,U R' U': R/E',,"U R' U', M'","M': U', L' E L","D: R' F R, S'","U' M': l E' l', U",,,,,M' U' M U2 M U M' U2
,,,u': L'/E',"L' D': L2, S",U' E': R'/E,,U R U': R/E',,"M', U R' U'","R: R E' R', U'","D: S', R' F R","U' M': U, l E' l'",,,,,M U M' U2 M' U' M U2
,,,u: R'/E,"R' F': R2, E'",U' E': R/E,,U R U': R'/E',,"E', R' U' R","R: U', R E' R'","D': U' R' U, M'",l: U'/R E' R',,,,,R: M' U M U2 M U' M' U2
,,,u: R/E,"R' F': E', R2",U' E': R/E',,R E' R': U/M,,"R' U' R, E'","L': L' E L, U","D': M', U' R' U",l: U/R E' R',,,,,R: M U' M' U2 M' U M U2
,,,u: R/E',"L F: L2, E",U' E': R'/E',,R E' R': U/M',,"E, L U L'","L': U, L' E L","U': R B R', S",l: U'/R' E' R,,,,,L': M' U' M U2 M U M' U2
,,,u: R'/E',"L F: E, L2",U E: L'/E,,R E' R': U'/M',,"L U L', E",M/U' L U,"U': S, l U l'",l: U/R' E' R,,,,,L': M U M' U2 M' U' M U2
,,,u': L'/E,"L D': L2, S",U E: L/E,,R' E R: U'/M,,"L, U S' U'",M'/U' L U,"U: S, l U l'","D r: R' U' R, E'",,,,,L: M U M' U2 M' U' M U2
,,,u': L/E,"R' D: R2, S'",S' U': R/E,,R' E R: U/M,,"U S' U', L",M/U R' U',"U: l U l', S","D r: E', R' U' R",,,,,L: M' U' M U2 M U M' U2
,,,U: L/S',"M2 U': R2, S'",S' U': R'/E,,F' L' U: L'/E',,"R', U' S U",M'/U R' U',"U: S, R' F' R","u R': U', R' E R",,,,,R': M U' M' U2 M' U M U2
,,,U: L'/S',"M2 U: L2, S",R' u': R/E',,F' L' U: L/E',,"U' S U, R'","M2: U' L' U, M","U: R' F' R, S","u R': R' E R, U'",,,,,R': M' U M U2 M U' M' U2
,,,U': R'/S,,R' u': R'/E',,F R U': R/E,,"E, R U' R'","M': U' L' U, M'","D: L' F' L, S","u' L: U, L E' L'",,,,,S: M' U' M U2 M U M' U2
,,,U': R/S,,R' F: R'/S',,F R U': R'/E,,"R U' R', E","M': M', U R U'","D: S, L' F' L","u' L: L E' L', U",,,,,S: M U M' U2 M' U' M U2
,,,U: R'/E,,L F': L/S,,l' U' E': R'/E,,"E', L' U L","M': U R U', M'","E': U', L' E L","U R': R' E R, U'",,,,,S': M' U M U2 M U' M' U2
,,,U: R/E,,S' U': R'/E',,l' U' E': R/E,,"L' U L, E'","R': R' E R, U'","E': L' E L, U'","U R': U', R' E R",,,,,S': M U' M' U2 M' U M U2
,,,U': L/E',,S' U': R/E',,L F S': L/S,,"U' L' U, M'","R': U', R' E R","E: U, R E' R'","U' L: L E' L', U",,,,,
,,,U': L'/E',,R' U': R'/E,,r U E: L'/E',,"M', U' L' U","L: L E' L', U","E: R E' R', U","U' L: U, L E' L'",,,,,
,,,U: R/E',,R' U': R/E,,D R' F': R'/S',,"U R U', M'","L: U, L E' L'","L': M, U' L U","u' L: L E' L', U'",,,,,
,,,U: R'/E',,R U': R'/E,,D L F: L/S,,"M', U R U'",M/U' L' U,"R: M, U R' U'","u' L: U', L E' L'",,,,,
,,,U': L'/E,,R U': R/E,,D' L F: L/S,,"E', L U L'",M'/U' L' U,"S: U, R E' R'","u R': R' E R, U",,,,,
,,,U': L/E,,R' U': R'/E',,D' L F: L'/S,,"L U L', E'",M/U R U',"S: R E' R', U","u R': U, R' E R",,,,,
,,,M: U/M,,R' U': R/E',,r' U' E': L/E,,"E, R' U' R",M'/U R U',"S': U', L' E L","R u': R' U R, E'",,,,,
